date,mean,std,low_thresh,high_thresh,fwd_curv,signal
2007-08-22,-2.347642015759265e-05,2.282099032959112e-05,-2.347642015759265e-05,-2.347642015759265e-05,-2.606725912992506e-05,1
2007-09-19,-2.4855068569373414e-05,2.1547188668549197e-05,-2.4855068569373414e-05,-2.4855068569373414e-05,-2.237953831360669e-05,-1
2007-10-17,-2.4503168275395634e-05,2.1724826216235138e-05,-2.4503168275395634e-05,-2.4503168275395634e-05,-9.602731175997133e-06,-1
2007-11-14,-2.595472380119967e-05,2.0972719630186026e-05,-2.595472380119967e-05,-2.595472380119967e-05,-3.346299672826348e-05,1
2007-12-12,-3.093469656618684e-05,2.8001781846140962e-05,-3.093469656618684e-05,-3.093469656618684e-05,-0.00012641793472326247,1
2008-01-09,-3.298468376223236e-05,2.8208568656293317e-05,-3.298468376223236e-05,-3.298468376223236e-05,-6.133551613240474e-05,1
2008-02-06,-3.673894337416039e-05,3.409131441444342e-05,-3.673894337416039e-05,-3.673894337416039e-05,-0.00013060033538529427,1
2008-03-05,-3.966509307954331e-05,3.4526335523688485e-05,-3.966509307954331e-05,-3.966509307954331e-05,-8.114636904170194e-05,1
2008-04-02,-4.2929196161453104e-05,3.164012526952269e-05,-4.2929196161453104e-05,-4.2929196161453104e-05,-5.5602496567451926e-05,1
2008-04-30,-4.621365977657817e-05,3.317228636424763e-05,-4.621365977657817e-05,-4.621365977657817e-05,-0.00010180511717088945,1
2008-05-28,-4.7329994946116896e-05,3.233082196334543e-05,-4.7329994946116896e-05,-4.7329994946116896e-05,-3.7546425671629804e-05,-1
2008-06-25,-4.43428899224737e-05,3.8401514109110285e-05,-4.43428899224737e-05,-4.43428899224737e-05,6.210616017897786e-05,-1
2008-07-23,-4.248002902851531e-05,4.101712584953327e-05,-4.248002902851531e-05,-4.248002902851531e-05,3.441649199667119e-05,-1
2008-08-20,-4.137480719931438e-05,4.1965916547319834e-05,-4.137480719931438e-05,-4.137480719931438e-05,6.689393651478828e-06,-1
2008-09-17,-3.906180277722585e-05,4.412103561592733e-05,-3.906180277722585e-05,-3.906180277722585e-05,2.841357414797016e-05,-1
2008-10-15,-4.068340178226461e-05,4.5192139568204145e-05,-4.068340178226461e-05,-4.068340178226461e-05,-8.931561754172886e-05,1
2008-11-12,-4.3853910768311424e-05,4.835295193123739e-05,-4.3853910768311424e-05,-4.3853910768311424e-05,-0.00012832132838771343,1
2008-12-10,-4.239318887045748e-05,4.863080081894448e-05,-4.239318887045748e-05,-4.239318887045748e-05,-1.5265121898712557e-05,-1
2009-01-07,-3.737215792939949e-05,5.415807952786525e-05,-3.737215792939949e-05,-3.737215792939949e-05,7.979102535699036e-05,-1
2009-02-04,-3.321396654885822e-05,5.728222695380859e-05,-3.321396654885822e-05,-3.321396654885822e-05,5.9017144533270234e-05,-1
2009-03-04,-2.535651497863007e-05,6.692389272529043e-05,-2.535651497863007e-05,-2.535651497863007e-05,0.00014613564968753753,-1
2009-04-01,-2.129553577110001e-05,6.952087046853373e-05,-2.129553577110001e-05,-2.129553577110001e-05,7.141661097023561e-05,-1
2009-04-29,-1.772385582092264e-05,7.070631415003106e-05,-1.772385582092264e-05,-1.772385582092264e-05,4.9297876498799036e-05,-1
2009-05-27,-1.1765561934980811e-05,7.426205337481126e-05,-1.1765561934980811e-05,-1.1765561934980811e-05,0.0001043058865294077,-1
2009-06-24,-8.42024242096199e-06,7.558538685403913e-05,-8.42024242096199e-06,-8.42024242096199e-06,6.189446853677589e-05,-1
