date,mean,std,curv_z,ci_lower,ci_upper,ci_mid,pnl_no_fees_pred,pnl_pred,signal
2001-08-29,1.593615627692064e-05,2.5850519955627777e-05,-0.3635709044487441,,,,,,0
2001-09-26,1.5722855550501852e-05,2.598756610644589e-05,-0.6407617885881904,,,,,,0
2001-10-24,1.625122968418366e-05,2.571721352655639e-05,-0.3515190173811204,,,,,,0
2001-11-21,1.6937817931004452e-05,2.5795690028674248e-05,0.26504484873089634,,,,,,0
2001-12-19,2.5354150592764656e-05,2.5339447120138425e-05,1.9423712281863943,,,,,,0
2002-01-16,3.3314646177423465e-05,3.1646128251796405e-05,2.1677184884334286,,,,,,0
2002-02-13,3.756152926409343e-05,3.594679438749284e-05,1.5877107342502084,,,,,,0
2002-03-13,4.523491002739395e-05,3.957587287426749e-05,1.579889542905748,,,,,,0
2002-04-10,5.705987995546606e-05,4.9966362373206375e-05,2.1467167594511474,,,,,,0
2002-05-08,7.031942680085296e-05,5.893838006641929e-05,1.9268942365005517,,,,,,0
2002-06-05,7.787495863359254e-05,6.036241946137494e-05,0.9229428055365361,,,,,,0
2002-07-03,8.221253349667295e-05,6.134710434296121e-05,0.632101222646134,,,,,,0
2002-07-31,8.49343029833515e-05,6.060322250222053e-05,0.01563498369218043,,,,,,0
2002-08-28,8.703385122669261e-05,5.808121831540811e-05,-0.9159942964378487,,,,,,0
2002-09-25,8.793307381646442e-05,5.6679452827242795e-05,-1.361554497951267,,,,,,0
2002-10-23,8.833339187501738e-05,5.6076992118043376e-05,-1.353819350696832,,,,,,0
2002-11-20,8.706868565011753e-05,5.781284863662522e-05,-1.3791922688746205,,,,,,0
2002-12-18,8.391216478938179e-05,5.964322086927811e-05,-0.8445917512114371,,,,,,0
2003-01-15,7.634683749683823e-05,6.329511310100976e-05,-1.149876274137908,,,,,,0
2003-02-12,7.101828921211982e-05,6.453099850017075e-05,-0.7074859741762317,,,,,,0
2003-03-12,6.38528100776286e-05,6.527858671587606e-05,-0.7543610174578365,,,,,,0
2003-04-09,5.263216662776004e-05,5.878305939821745e-05,-0.581409412083957,,,,,,0
2003-05-07,3.999473248106228e-05,4.401925340442647e-05,-0.4632955616318386,,,,,,0
2003-06-04,2.9548512428708433e-05,3.518528278906765e-05,-0.9027454433002432,-4874.452428689724,1694.1290971919727,-1590.1616657488755,1435.5111978655218,678.4962274591917,1
2003-07-02,1.6275728957118046e-05,2.9975362956344786e-05,-2.262918418333169,-3865.2063719543485,1740.4184766063854,-1062.3939476739815,2404.110831717138,5024.753198629961,1
2003-07-30,7.234643386726771e-06,2.444673942476525e-05,-1.5906793027602057,-3056.021126149104,2149.640318001043,-453.1904040740304,720.8805959700946,1139.2560630390553,1
2003-08-27,8.349473719980392e-06,2.603928883014211e-05,1.5351842898896784,-3747.9815294179884,1165.1007414081146,-1291.440394004937,-1982.5990042053156,-2031.9488716349251,-1
