date,mean,std,curv_z,ci_lower,ci_upper,ci_mid,pnl_no_fees_pred,pnl_pred,signal
2001-08-29,1.2020187808163e-05,2.797537892943595e-05,-0.19597691476527218,,,,,,0
2001-09-26,1.1586981979570248e-05,2.7998566621245148e-05,-0.4470216614228908,,,,,,0
2001-10-24,1.1506554459998413e-05,2.8005139764942943e-05,-0.15337950249501509,,,,,,0
2001-11-21,1.1238515525793625e-05,2.781545801241412e-05,0.4506960540133794,,,,,,0
2001-12-19,1.2573604036183437e-05,2.9151440788138763e-05,2.1267957227731644,,,,,,0
2002-01-16,1.4200911476088412e-05,3.167294411482318e-05,2.7693551847312774,,,,,,0
2002-02-13,1.6259117041334955e-05,3.33443298956721e-05,2.3504902866210755,,,,,,0
2002-03-13,1.8397401197962083e-05,3.554922471104705e-05,2.513782431578161,,,,,,0
2002-04-10,2.2038712329503923e-05,4.038311448961697e-05,3.523373492599655,,,,,,0
2002-05-08,2.570914770683301e-05,4.5980228435899676e-05,3.440137409782472,,,,,,0
2002-06-05,2.838093924790931e-05,4.81266665533486e-05,2.1860038869660245,,,,,,0
2002-07-03,3.1001777917888875e-05,4.939572161440363e-05,1.8217839986678017,2246.6955156614213,7756.333599789131,5001.514557725276,9111.679190367975,10408.470949301009,1
2002-07-31,3.249727648774285e-05,4.9864239535574903e-05,1.0705980355528741,2846.6367672526203,8231.113614198955,5538.875190725788,5929.90889836358,5090.32057464966,1
2002-08-28,3.380853598031783e-05,4.896014378321045e-05,0.00047488707145926706,2950.716655658762,8126.970042382454,5538.843349020608,2.6303250972880354,0.0,0
2002-09-25,3.5148535354913134e-05,4.729782463754782e-05,-0.5156183326333673,2681.2243061026224,7822.194764540762,5251.709535321692,-2707.877714077327,-311.37353090170245,-1
2002-10-23,3.5696783475708496e-05,4.685536923212701e-05,-0.49688027307249755,2870.3871268253097,7832.853420493479,5351.620273659394,-2659.114542956194,-170.09685538738586,-1
2002-11-20,3.3916580825743606e-05,4.6120853359784575e-05,-0.5763754813794797,1511.610626696277,7308.494858977977,4410.052742837127,-2541.8462725616437,-490.5437513786237,-1
2002-12-18,3.462269695612297e-05,4.5821872769241556e-05,-0.02367219982644278,1546.7784154907208,7249.276423514084,4398.027419502402,-104.11098391663535,0.0,0
2003-01-15,3.463678933032648e-05,4.581201570866734e-05,-0.6782391077224814,1193.3409744865794,6767.3277851101275,3980.3343797983534,-2699.618438191552,-867.9728675143888,-1
2003-02-12,3.5053737717137505e-05,4.562303916024673e-05,-0.21239761799822038,1092.6021931666123,6601.421620644091,3847.0119069053517,-817.0961654374883,0.0,0
2003-03-12,3.5139935215566336e-05,4.5579233691141774e-05,-0.45044079438144896,570.2352260276211,6138.229207446586,3354.2322167371035,-1510.8830242469094,0.0,0
2003-04-09,3.487155462671195e-05,4.5636668935136614e-05,-0.35971976893183155,775.3238024612865,6208.247853744261,3491.785828102774,-1256.064391244574,0.0,0
2003-05-07,3.5289870981543054e-05,4.5389677130459046e-05,-0.3456526730517435,756.9915825338899,6049.111464720281,3403.0515236270853,-1176.2738556745105,0.0,0
2003-06-04,3.471497737707464e-05,4.56763687491918e-05,-0.8085103888229063,-617.4569172530355,4763.775718031564,2073.159400389264,-1676.1709129005872,-129.66866692655867,-1
2003-07-02,3.3006383190023456e-05,4.721397255711675e-05,-1.7910472384153022,-545.7368397833407,4063.3093414129116,1758.7862508147855,-3150.069257484625,-3555.6854836404355,-1
2003-07-30,3.1634498079229596e-05,4.804519534120701e-05,-1.3172342554962944,75.01364333284619,4316.486121570598,2195.749882451722,-2892.31696166737,-1963.929891582873,-1
2003-08-27,3.186115127062445e-05,4.809655683295889e-05,0.34229954627454917,-371.702490635666,3976.8329283423604,1802.5652188533472,617.0172565437841,0.0,0
2003-09-24,3.223759272890572e-05,4.8317975534581865e-05,0.7742242796725011,769.567505952059,5255.075312288794,3012.3214091204263,2332.2123731183156,346.71340715727456,1
2003-10-22,3.2988173910076745e-05,4.797294606136547e-05,-0.05349317332136119,810.0451389408472,5214.1241207645135,3012.0846298526803,-161.12596516331752,0.0,0
2003-11-19,3.3693611864317016e-05,4.82004403680608e-05,0.6887440340927153,927.8705891955915,5149.049747373152,3038.460168284372,2092.721313734209,0.0,0
2003-12-17,3.506133372999501e-05,4.85986544873105e-05,1.0020341359114884,1897.7032960466531,5903.932215728608,3900.8177558876305,3908.752549369053,2194.048125143354,1
2004-01-14,3.6982710355497636e-05,4.89986840390848e-05,1.2032890114865702,2929.7136248157876,6634.725060973002,4782.219342894395,5754.391985823351,4261.598268979117,1
2004-02-11,3.863305592009133e-05,4.787362716047377e-05,0.2026041303353805,2975.082063560475,6613.845039691046,4794.46355162576,971.3781183018168,0.0,0
2004-03-10,3.969648092290489e-05,4.803720849266028e-05,0.7151168757780526,3573.015622928863,7104.621328724116,5338.81847582649,3817.879188779184,1358.7411170590467,1
2004-04-07,3.997371803301266e-05,4.7865096943749527e-05,-0.46226863366944165,3927.9860878194822,7405.813852772834,5666.899970296158,-2619.6301064102045,0.0,0
2004-05-05,4.123890038331718e-05,4.742546692987727e-05,0.3378898395428269,2918.2585225862995,6776.443635099141,4847.35107884272,1637.8706782379156,0.0,0
2004-06-02,4.2619411185348926e-05,4.8563464336325475e-05,1.5238925805936785,-2360.5158105638807,1682.6041043476976,-338.95585310809145,-516.5323097002213,0.0,0
2004-06-30,4.3883192912577426e-05,4.926838365749131e-05,1.1972451014920396,-2564.655374075731,1105.7457825918355,-729.4547957419478,-873.3361809619233,0.0,0
2004-07-28,4.4660224822393554e-05,4.940841794821145e-05,0.5775318559598962,-2191.6381998594484,1385.3039012106487,-403.16714932439976,-232.8418720113812,0.0,0
2004-08-25,4.491303117751265e-05,4.940905626008925e-05,0.13294962112087924,-2082.0009545806292,2046.346946492405,-17.827004044112037,-2.3700934333850774,0.0,0
2004-09-22,4.594730773965079e-05,4.905143307767042e-05,0.19732347331692984,-2083.2395162023013,1983.0237319600312,-50.107892121135016,-9.887463313932384,0.0,0
2004-10-20,4.649754564483828e-05,4.868896590370098e-05,-0.3603054189341731,-1978.1036335167062,1997.216924766945,9.556645625119547,-3.443311205564131,0.0,0
2004-11-17,4.64155259815414e-05,4.8746882851837755e-05,-0.7350493178813547,406.342964115403,4707.292388351692,2556.8176762335474,-1879.3870888624597,0.0,0
2004-12-15,4.7398711351047615e-05,4.757745314987557e-05,-0.6539364985453506,1007.1926406402672,5124.428893246038,3065.8107669431524,-2004.845558137441,0.0,0
2005-01-12,4.7459534740652604e-05,4.751560268140818e-05,-0.9653380156646296,2395.045614014474,6214.136508916534,4304.591061465504,-4155.385393522812,-2276.8487154623554,-1
2005-02-09,4.660269983092712e-05,4.8061911782065545e-05,-1.0763815414364182,1840.673806532664,5292.814773245669,3566.7442898891663,-3839.177716660444,-1975.1946330393594,-1
2005-03-09,4.693587738065281e-05,4.7848685003283087e-05,-0.45151035986726146,3086.2269515379803,6965.249414519946,5025.738183028963,-2269.1728556180437,0.0,0
2005-04-06,4.754810980918844e-05,4.75775363853154e-05,-0.10746931236678588,3080.165199137172,6916.3946020500725,4998.279900593622,-537.1617039335234,0.0,0
2005-05-04,4.788126771299519e-05,4.7380505870505726e-05,-0.40193142085916966,2415.8423326013817,6252.918725311696,4334.380528956539,-1742.123724547821,0.0,0
2005-06-01,4.7058555881931546e-05,4.796987244606396e-05,-1.135618310927536,-1150.0300150875387,2566.010050866595,707.9900178895283,-804.0064282692621,0.0,0
2005-06-29,4.591511498128281e-05,4.825132977865475e-05,-0.8450005847391122,622.2574844532683,4238.884813558425,2430.5711490058466,-2053.834042159956,0.0,0
2005-07-27,4.4915754242976716e-05,4.8690688586886624e-05,-0.9526191542778868,4063.1498409912847,7931.042997466738,5997.096419229011,-5712.948919008883,-3833.369981664059,-1
2005-08-24,4.51009840782666e-05,4.855997290187105e-05,-0.5957864380499939,4226.435929908202,7938.514018382511,6082.474974145356,-3623.8560993742904,-1007.7654992977987,-1
