date,mean,std,z_score,ci_lower,ci_upper,ci_mid,pnl_no_fees_pred,pnl_pred,signal
2001-08-29,0.05892424442321171,0.008548527947781395,-1.3799529917659537,,,,,,0
2001-09-26,0.05886845960266362,0.008617990124457273,-1.554893831086762,,,,,,0
2001-10-24,0.05875466558535586,0.008775260049738645,-2.0111087139676282,,,,,,0
2001-11-21,0.05865242356102234,0.008907257313363975,-1.8485628782289765,,,,,,0
2001-12-19,0.058586030107457714,0.008978372604231477,-1.4298558510507544,,,,,,0
2002-01-16,0.05848285033440657,0.009054331272647596,-1.3013818809426991,,,,,,0
2002-02-13,0.058317329758546685,0.009157593305885468,-1.5270344142742112,,,,,,0
2002-03-13,0.058102392513740636,0.009162789959531731,-1.2085435244044112,,,,,,0
2002-04-10,0.05792415603211454,0.009140505016567903,-0.8607760681734345,,,,,,0
2002-05-08,0.05774282421320212,0.009103838748967023,-0.8052414764522187,,,,,,0
2002-06-05,0.05751353885082421,0.009032172485641773,-0.9712358428147785,,,,,,0
2002-07-03,0.05726790196402593,0.008986586837922037,-1.1961249809946826,-22484.008730303736,-8000.185577827153,-15242.097154065445,18231.453168725635,22818.781300271854,1
2002-07-31,0.056982334103897865,0.00899883268096262,-1.6449939682566432,-21154.764147685208,-8822.316245572654,-14988.54019662893,24656.05821642683,30724.55620788708,1
2002-08-28,0.05660596923271493,0.009002635345332003,-2.1212094110204105,-17306.726432364638,-5500.256480390511,-11403.491456377575,24189.193395758957,32636.287767340582,1
2002-09-25,0.05618958415050966,0.008995216889971586,-2.3199763699283906,-14881.413233134872,-4844.715581747701,-9863.064407441287,22882.07636034555,30449.623837065577,1
2002-10-23,0.05569365699161066,0.009031169496184299,-2.84474049377604,-11438.288871312969,-2255.7430800691554,-6847.015975691062,19477.983607579823,28464.060316784857,1
2002-11-20,0.05524792362361563,0.008929366793689358,-2.293399622178229,-12177.508859108722,-3826.035084184002,-8001.771971646362,18351.260816530106,23852.991001605,1
2002-12-18,0.054813168984819034,0.00887194200873859,-2.3434539793148392,-11337.445576286627,-3968.273883778805,-7652.8597300327165,17934.124587483457,22493.878736067338,1
