tenor_wk,4.0,4.0,4.0,4.0,4.0,4.0,4.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,1040.0,1040.0,1040.0,1040.0,1040.0,1040.0,1040.0,1560.0,1560.0,1560.0,1560.0,1560.0,1560.0,1560.0
metric,fwd,fwd_factor,pr_s,pr_t,spot,val,zcb,fwd,fwd_factor,pr_s,pr_t,spot,val,zcb,fwd,fwd_factor,pr_s,pr_t,spot,val,zcb,fwd,fwd_factor,pr_s,pr_t,spot,val,zcb,fwd,fwd_factor,pr_s,pr_t,spot,val,zcb,fwd,fwd_factor,pr_s,pr_t,spot,val,zcb,fwd,fwd_factor,pr_s,pr_t,spot,val,zcb,fwd,fwd_factor,pr_s,pr_t,spot,val,zcb,fwd,fwd_factor,pr_s,pr_t,spot,val,zcb,fwd,fwd_factor,pr_s,pr_t,spot,val,zcb,fwd,fwd_factor,pr_s,pr_t,spot,val,zcb
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-03,,,1.0,,,,,,,,0.9805318149431879,0.0786407447973713,,0.0786407447973713,0.07998247535597003,0.9938663897564618,0.9671351290295975,0.961203099095296,0.07913910186199344,,0.07913910186199344,0.07658598028477655,0.9941260900111037,0.9302044950155224,0.9247405575405345,0.0782420591456736,,0.0782420591456736,0.076406205545044,0.9941398377030141,1.0059368266557003,1.0000418735909828,0.07913910186199344,,0.07755230367092691,0.0779850739368752,0.9940191053449657,1.0063002332750544,1.0002816575884999,0.07933844468784228,,0.0776855439639146,0.07610041973950646,0.9941632221204284,1.006917517559725,1.0010403636666791,0.07893975903614459,,0.07709235689790063,0.08083912880939449,0.9938008996777258,1.008369083508792,1.0021181023982413,0.08013581599123767,,0.078368855159876,0.07596114268665724,0.9941738732639174,1.0100050303061336,1.0041206129954892,0.07963745892661556,,0.07739498481247983,,,,,,,,,,,,0.08013581599123767,,
1990-01-31,,,1.0,,,,,,,,0.9802630915465411,0.07973713033953998,,0.07973713033953998,0.08322562979189456,0.9936184774360796,0.9664608792903544,0.9602933873820166,0.08103285870755751,1.0054699992124527,0.08103285870755751,0.07961445783132415,0.9938945255584462,0.9282907263267812,0.9226230710228616,0.08053450164293538,1.0038390970930147,0.08053450164293538,0.08146012755298342,0.9937534278031125,1.006331950598346,1.0000458254148987,0.08252792990142387,1.0062898136302798,0.08085562816068294,0.08335858003450472,0.9936083158097611,1.0067439239147553,1.0003091346926503,0.08332530120481926,1.0064604466924194,0.0815903924776529,0.0808423293056135,0.9938006550119081,1.0073847897420278,1.0011396638946606,0.08322562979189485,1.0063378324247685,0.08127156337901369,0.08217503600502434,0.9936987798653844,1.008694618770483,1.002338611929008,0.08362431544359256,1.0065626160793852,0.08155239745267585,0.08207219026350092,0.993706641257086,1.0109712076731328,1.0046088031844886,0.08402300109529025,1.0068224818701879,0.08174451497025824,,,,,,,,,,,,0.08432201533406353,,
1990-02-28,,,1.0,,,,,,,,0.9801653922081655,0.08013581599123767,,0.08013581599123767,0.08281927710843301,0.993649536347237,0.9663825086710987,0.9602455316751168,0.08113253012048194,1.0063408968228786,0.08113253012048194,0.08056516976998873,0.9938218430322363,0.9279885667882671,0.9222553077583592,0.08093318729463307,1.0058154797272272,0.08093318729463307,0.08474037659645554,0.9935027087644,1.006586864336742,1.0000467763252168,0.08402300109529025,1.006540739189756,0.08234399279833365,0.08273046392571784,0.9936563247687198,1.0067011003897646,1.0003149155539195,0.08422234392113909,1.0063899903294178,0.08243237455311617,0.08169091385541963,0.993735786061313,1.0074883593851836,1.001177236761258,0.08412267250821466,1.0063414683480076,0.08211165115214152,0.08507885388872849,0.9934768415544787,1.0089854892854717,1.0024037170696307,0.08511938663745892,1.0066313691574464,0.08311257435804931,0.08133865101796774,0.993762713825196,1.0110164508748676,1.0047104519433263,0.08482037239868565,1.0063782515841664,0.08232822809783673,,,,,,,,,,,,0.08511938663745892,,
1990-03-28,,,1.0,,,,,,,,0.979970022742481,0.08093318729463307,,0.08093318729463307,0.08495837897042728,0.9934860484464725,0.9659155515724884,0.9596236244647465,0.08242825848849945,1.0059047605121165,0.08242825848849945,0.08413033953997837,0.9935493308942892,0.9263022234340049,0.920326954298748,0.083026286966046,1.0043880643912826,0.083026286966046,0.08481289089101966,0.9934971669992351,1.0065955639840838,1.0000498411321845,0.08541840087623222,1.0065484813449739,0.08365405482546187,0.08443332915445538,0.9935261746157767,1.0068533955803363,1.0003352025098369,0.08571741511500548,1.006536421605586,0.08384943445499764,0.08140980707501407,0.9937572744372858,1.0075395430550462,1.001249750194171,0.0850197152245345,1.0063548251599985,0.08285971249104523,0.08418146845944895,0.9935454232786097,1.0090968969470009,1.0025836036063396,0.08551807228915663,1.0066771299461426,0.08326657592881992,0.0803880621986347,0.9938353826146945,1.011420011720921,1.0051849943328204,0.08482037239868565,1.0066781028948362,0.08196539685775643,,,,,,,,,,,,0.08442168674698795,,
1990-04-25,,,1.0,,,,,,,,0.9801165461905429,0.08033515881708654,,0.08033515881708654,0.08945892661555377,0.9931421671061668,0.9656242095023022,0.9590021200352956,0.08372398685651698,1.0062530609757578,0.08372398685651698,0.08854654983570558,0.9932118710792535,0.9244030253535056,0.9181280584426779,0.08541840087623222,1.0044289380374212,0.08541840087623222,0.09084078392879269,0.9930366049654359,1.0070668424581732,1.0000542382079258,0.08920591456736034,1.0070166516081285,0.08735895084909091,0.08925257079227919,0.9931579318981741,1.007257070283414,1.0003653488124893,0.0898039430449069,1.0069195483236122,0.08783314535637156,0.08719742879512324,0.9933149505073411,1.008104340582161,1.001365113171605,0.08970427163198247,1.0068460345549757,0.08744715608030204,0.08811011022252434,0.9932452160239694,1.0096338138701852,1.0028139555625963,0.09000328587075573,1.007032042254118,0.08755427852363835,0.08632587357030905,0.993381547265499,1.012347473999467,1.00564730009191,0.0898039430449069,1.0071255338142016,0.0868440011110734,,,,,,,,,,,,0.08950492880613363,,
1990-05-23,,,1.0,,,,,,,,0.9804829506650845,0.07884008762322016,,0.07884008762322016,0.08420700985761222,0.9935434712390466,0.9666301815190657,0.9603891059508822,0.08083351588170866,1.0079541654021467,0.08083351588170866,0.082535596933188,0.9936712195587862,0.9276668093760274,0.9217958098168852,0.0814315443592552,1.0103893469387366,0.0814315443592552,0.08609613988896202,0.9933991022821389,1.006692530141966,1.0000474557171641,0.08482037239868565,1.0066379319045093,0.08313135659556559,0.08427610380199517,0.993538190650207,1.0068258273921395,1.000319910847084,0.08521905805038336,1.0064581191135011,0.08341970080440585,0.08474968195906459,0.9935019976182732,1.0077396184749494,1.0011913240339387,0.08581708652792991,1.0063658152451054,0.08385432551978003,0.08474440392850825,0.9935024009825013,1.008978800452715,1.0024228607902164,0.08621577217962761,1.006147545968943,0.0840991375627621,0.08214196328370856,0.9937013078934323,1.0112405722212483,1.0048710792111573,0.08581708652792991,1.0055618626220417,0.08316842373360606,,,,,,,,,,,,0.08561774370208106,,
1990-06-20,,,1.0,,,,,,,,0.9801898161298452,0.08003614457831326,,0.08003614457831326,0.08110952902518974,0.9937802288174936,0.9665925562387248,0.9605805717122059,0.08043483023001097,1.0064593093043266,0.08043483023001097,0.08298795180722915,0.9936366438511653,0.9277915592097034,0.9218876910865694,0.08133187294633078,1.0065044224859399,0.08133187294633078,0.08405526436603428,0.993555068671537,1.006534001422433,1.0000469589035024,0.08402300109529025,1.0064862378961978,0.08233693963778574,0.08305725268084468,0.9936313469508626,1.0067277738327596,1.0003162739262883,0.08432201533406353,1.0064058136963898,0.08253171853877493,0.08349604206082754,0.993597809448965,1.007626397526069,1.0011753813248543,0.08482037239868565,1.0064274163565488,0.08287056750826578,0.08506121910591644,0.9934781892283412,1.0089590130298562,1.0023787732705158,0.08561774370208106,1.0065203543287984,0.08361181903780593,0.08149767808919131,0.9937505573477141,1.0110230593148903,1.0047047286855633,0.08521905805038336,1.0061221585843256,0.08268202068178997,,,,,,,,,,,,0.08492004381161009,,
