date,1,-1,0,pnl_no_fees,signal,pnl,pnl_pct,pnl_no_fees_pct,long_pnl_pct,short_pnl_pct,same_sig
2001-08-29,7897.450594625744,-15341.237576874271,0,11619.344085750006,0,0.0,0.0,0.5809672042875004,0.3948725297312872,-0.7670618788437136,False
2001-09-26,85498.32905212579,-92942.1160343743,0,89220.22254325006,0,0.0,0.0,4.461011127162503,4.2749164526062895,-4.647105801718714,True
2001-10-24,12899.23591588968,-20343.022898138206,0,16621.12940701394,0,0.0,0.0,0.8310564703506971,0.644961795794484,-1.0171511449069102,True
2001-11-21,-4582.359798328869,-2861.4271839196495,0,-860.4663072046102,0,0.0,0.0,-0.04302331536023051,-0.22911798991644344,-0.1430713591959825,True
2001-12-19,18048.337835703336,-25492.124817951866,0,21770.2313268276,0,0.0,0.0,1.08851156634138,0.9024168917851668,-1.2746062408975933,True
2002-01-16,24649.216327110382,-32093.003309358908,0,28371.109818234643,0,0.0,0.0,1.4185554909117322,1.232460816355519,-1.6046501654679455,True
2002-02-13,-19622.661854153765,12178.874871905242,0,-15900.768363029505,0,0.0,0.0,-0.7950384181514752,-0.9811330927076882,0.608943743595262,True
2002-03-13,-16508.11424616445,9064.327263915926,0,-12786.220755040187,0,0.0,0.0,-0.6393110377520094,-0.8254057123082225,0.4532163631957963,True
2002-04-10,8204.888452966716,-15648.675435215235,0,11926.781944090977,0,0.0,0.0,0.5963390972045489,0.4102444226483358,-0.7824337717607618,True
2002-05-08,21454.356009526124,-28898.142991774654,0,25176.24950065039,0,0.0,0.0,1.2588124750325196,1.072717800476306,-1.4449071495887327,True
2002-06-05,9681.057095135133,-17124.844077383652,0,13402.95058625939,0,0.0,0.0,0.6701475293129695,0.48405285475675663,-0.8562422038691826,True
2002-07-03,32108.995073709164,-39552.782055957694,0,35830.888564833425,0,0.0,0.0,1.7915444282416713,1.6054497536854582,-1.9776391027978848,True
2002-07-31,19576.371506789543,-27020.15848903807,0,23298.264997913808,0,0.0,0.0,1.1649132498956905,0.9788185753394771,-1.3510079244519035,True
2002-08-28,-5854.793625600922,-1588.9933566475966,0,-2132.900134476663,0,0.0,0.0,-0.10664500672383316,-0.29273968128004607,-0.07944966783237982,True
2002-09-25,9371.212524703362,-16814.99950695188,0,13093.106015827621,0,0.0,0.0,0.654655300791381,0.4685606262351681,-0.840749975347594,True
2002-10-23,-11511.596431161717,4067.8094489131963,0,-7789.702940037458,0,0.0,0.0,-0.38948514700187287,-0.5755798215580858,0.2033904724456598,True
2002-11-20,31230.37572872085,-38674.16271096937,0,34952.269219845126,0,0.0,0.0,1.7476134609922562,1.5615187864360425,-1.9337081355484687,True
2002-12-18,6711.665953564255,-14155.452935812777,0,10433.559444688515,0,0.0,0.0,0.5216779722344258,0.33558329767821277,-0.7077726467906388,True
2003-01-15,4960.0258401949895,-12403.81282244351,0,8681.919331319248,0,0.0,0.0,0.4340959665659624,0.2480012920097495,-0.6201906411221755,True
2003-02-12,6053.21070294535,-13496.99768519387,0,9775.10419406961,0,0.0,0.0,0.4887552097034805,0.3026605351472675,-0.6748498842596936,True
2003-03-12,11257.782893433188,-18701.569875681707,0,14979.676384557446,0,0.0,0.0,0.7489838192278723,0.5628891446716594,-0.9350784937840854,True
2003-04-09,-10182.266892667203,2738.4799104186823,0,-6460.373401542944,0,0.0,0.0,-0.3230186700771472,-0.5091133446333601,0.13692399552093412,True
2003-05-07,-1755.8867577617748,-5687.900224486744,0,1966.006733362485,0,0.0,0.0,0.09830033666812425,-0.08779433788808874,-0.2843950112243372,True
2003-06-04,12714.12676964316,-20157.91375189168,0,16436.020260767425,-1,-20157.91375189168,-1.007895687594584,0.8218010130383713,0.6357063384821581,-1.007895687594584,False
2003-07-02,-5047.846232980442,-2395.9407492680784,0,-1325.952741856182,-1,1325.952741856182,0.0662976370928091,-0.0662976370928091,-0.25239231164902215,-0.11979703746340392,True
2003-07-30,-10633.564113892804,3189.7771316442813,0,-6911.670622768543,-1,6911.670622768543,0.34558353113842716,-0.34558353113842716,-0.5316782056946402,0.15948885658221407,True
2003-08-27,-17279.641551389785,9835.854569141262,0,-13557.748060265523,0,0.0,0.0,-0.6778874030132762,-0.8639820775694893,0.49179272845706307,False
2003-09-24,15951.917461714129,-23395.704443962648,0,19673.81095283839,1,15951.917461714129,0.7975958730857065,0.9836905476419194,0.7975958730857065,-1.1697852221981324,False
2003-10-22,-3836.890194180047,-3606.896788068474,0,-114.99670305578627,0,0.0,0.0,-0.005749835152789313,-0.19184450970900233,-0.18034483940342372,False
