date,1,-1,0,signal,pnl,pnl_pct,long_pnl_pct,short_pnl_pct
2001-08-29,-712.0147226385911,-6441.83143120756,0,1,-712.0147226385911,-0.03560073613192956,-0.03560073613192956,-0.322091571560378
2001-09-26,36387.89924390583,-43541.745397751976,0,1,36387.89924390583,1.8193949621952914,1.8193949621952914,-2.1770872698875987
2001-10-24,2551.1402069835594,-9704.986360829711,0,1,2551.1402069835594,0.12755701034917796,0.12755701034917796,-0.4852493180414856
2001-11-21,-455.29738502815326,-6698.548768817997,0,1,-455.29738502815326,-0.022764869251407662,-0.022764869251407662,-0.3349274384408999
2001-12-19,6136.434931169198,-13290.281085015351,0,1,6136.434931169198,0.3068217465584599,0.3068217465584599,-0.6645140542507676
2002-01-16,2865.6898992161878,-10019.536053062344,0,1,2865.6898992161878,0.1432844949608094,0.1432844949608094,-0.5009768026531172
2002-02-13,-12546.077174743907,5392.2310208977515,0,1,-12546.077174743907,-0.6273038587371954,-0.6273038587371954,0.2696115510448876
2002-03-13,-7726.8664045673195,573.0202507211648,0,1,-7726.8664045673195,-0.3863433202283659,-0.3863433202283659,0.02865101253605824
2002-04-10,1991.9286028265751,-9145.77475667273,0,1,1991.9286028265751,0.09959643014132877,0.09959643014132877,-0.45728873783363655
2002-05-08,2050.2539529064243,-9204.10010675258,0,1,2050.2539529064243,0.10251269764532121,0.10251269764532121,-0.460205005337629
2002-06-05,-1424.7642824846012,-5729.081871361554,0,1,-1424.7642824846012,-0.07123821412423005,-0.07123821412423005,-0.28645409356807766
2002-07-03,3364.335711695442,-10518.181865541595,0,1,3364.335711695442,0.1682167855847721,0.1682167855847721,-0.5259090932770798
2002-07-31,-3005.510233920463,-4148.335919925692,0,1,-3005.510233920463,-0.15027551169602316,-0.15027551169602316,-0.2074167959962846
2002-08-28,-4366.79216607482,-2787.0539877713345,0,1,-4366.79216607482,-0.218339608303741,-0.218339608303741,-0.13935269938856673
2002-09-25,-2680.9467800244206,-4472.899373821734,0,1,-2680.9467800244206,-0.13404733900122104,-0.13404733900122104,-0.22364496869108672
2002-10-23,-7407.5011157449635,253.65496189880923,0,1,-7407.5011157449635,-0.37037505578724816,-0.37037505578724816,0.012682748094940462
2002-11-20,13789.218942215353,-20943.06509606151,0,1,13789.218942215353,0.6894609471107677,0.6894609471107677,-1.0471532548030755
2002-12-18,-3403.3035922266545,-3750.5425616195002,0,1,-3403.3035922266545,-0.1701651796113327,-0.1701651796113327,-0.187527128080975
2003-01-15,-2794.7752646289255,-4359.07088921723,0,1,-2794.7752646289255,-0.13973876323144627,-0.13973876323144627,-0.2179535444608615
2003-02-12,-2637.257827334234,-4516.58832651192,0,1,-2637.257827334234,-0.1318628913667117,-0.1318628913667117,-0.22582941632559603
2003-03-12,-410.46542496399616,-6743.380728882159,0,1,-410.46542496399616,-0.02052327124819981,-0.02052327124819981,-0.33716903644410795
2003-04-09,-7484.523181161355,330.6770273152006,0,1,-7484.523181161355,-0.3742261590580677,-0.3742261590580677,0.01653385136576003
2003-05-07,-5286.081654382042,-1867.7644994641132,0,1,-5286.081654382042,-0.2643040827191021,-0.2643040827191021,-0.09338822497320566
2003-06-04,-14.079490262598028,-7139.766663583557,0,1,-14.079490262598028,-0.0007039745131299014,-0.0007039745131299014,-0.35698833317917783
2003-07-02,-1279.9621180216016,-5873.884035824553,0,1,-1279.9621180216016,-0.06399810590108007,-0.06399810590108007,-0.2936942017912277
2003-07-30,-6460.575862418056,-693.2702914280981,0,1,-6460.575862418056,-0.32302879312090277,-0.32302879312090277,-0.0346635145714049
2003-08-27,-5946.574670548505,-1207.27148329765,0,1,-5946.574670548505,-0.2973287335274253,-0.2973287335274253,-0.06036357416488251
2003-09-24,-2100.454796014121,-5053.3913578320335,0,1,-2100.454796014121,-0.10502273980070605,-0.10502273980070605,-0.25266956789160167
2003-10-22,-3649.112165755211,-3504.733988090944,0,1,-3649.112165755211,-0.18245560828776056,-0.18245560828776056,-0.1752366994045472
2003-11-19,-3265.0026197368975,-3888.8435341092572,0,1,-3265.0026197368975,-0.16325013098684488,-0.16325013098684488,-0.19444217670546285
2003-12-17,-1536.1007592291048,-5617.74539461705,0,1,-1536.1007592291048,-0.07680503796145524,-0.07680503796145524,-0.2808872697308525
2004-01-14,-1721.0465175513718,-5432.799636294783,0,1,-1721.0465175513718,-0.0860523258775686,-0.0860523258775686,-0.2716399818147392
2004-02-11,-5003.221184057503,-2150.6249697886524,0,1,-5003.221184057503,-0.2501610592028751,-0.2501610592028751,-0.10753124848943262
2004-03-10,-3693.5546323544704,-3460.2915214916843,0,1,-3693.5546323544704,-0.18467773161772352,-0.18467773161772352,-0.1730145760745842
2004-04-07,-5257.530275037245,-1896.3158788089095,0,1,-5257.530275037245,-0.2628765137518622,-0.2628765137518622,-0.09481579394044547
2004-05-05,-7503.945085307644,350.098931461489,0,1,-7503.945085307644,-0.3751972542653822,-0.3751972542653822,0.01750494657307445
2004-06-02,-11331.62130439515,4177.775150548995,0,1,-11331.62130439515,-0.5665810652197575,-0.5665810652197575,0.20888875752744976
2004-06-30,-6646.820475649196,-507.0256781969588,0,1,-6646.820475649196,-0.3323410237824598,-0.3323410237824598,-0.02535128390984794
2004-07-28,-1209.9899400258137,-5943.8562138203415,0,1,-1209.9899400258137,-0.06049949700129068,-0.06049949700129068,-0.29719281069101705
2004-08-25,1448.8014709811587,-8602.647624827314,0,1,1448.8014709811587,0.07244007354905795,0.07244007354905795,-0.43013238124136566
2004-09-22,-4758.22223358482,-2395.6239202613347,0,1,-4758.22223358482,-0.237911111679241,-0.237911111679241,-0.11978119601306673
2004-10-20,-3410.6949002389174,-3743.1512536072373,0,1,-3410.6949002389174,-0.17053474501194588,-0.17053474501194588,-0.18715756268036188
2004-11-17,-11140.83887786225,3986.992724016094,0,1,-11140.83887786225,-0.5570419438931125,-0.5570419438931125,0.1993496362008047
2004-12-15,-3843.6753536853284,-3310.1708001608263,0,1,-3843.6753536853284,-0.19218376768426643,-0.19218376768426643,-0.1655085400080413
2005-01-12,-4082.105208211317,-3071.7409456348378,0,1,-4082.105208211317,-0.20410526041056584,-0.20410526041056584,-0.15358704728174188
2005-02-09,-1755.7750009936155,-5398.071152852539,0,1,-1755.7750009936155,-0.08778875004968077,-0.08778875004968077,-0.2699035576426269
2005-03-09,-8618.228170552258,1464.3820167061067,0,-1,1464.3820167061067,0.07321910083530533,-0.4309114085276129,0.07321910083530533
2005-04-06,118.1005341587097,-7271.94668800486,0,-1,-7271.94668800486,-0.363597334400243,0.005905026707935485,-0.363597334400243
2005-05-04,1003.4140697488674,-8157.260223595018,0,-1,-8157.260223595018,-0.4078630111797509,0.050170703487443374,-0.4078630111797509
2005-06-01,4355.537351835316,-11509.383505681468,0,-1,-11509.383505681468,-0.5754691752840734,0.21777686759176582,-0.5754691752840734
2005-06-29,-7854.033702099076,700.1875482529258,0,-1,700.1875482529258,0.035009377412646286,-0.39270168510495385,0.035009377412646286
2005-07-27,-12090.209426266243,4936.363272420093,0,-1,4936.363272420093,0.24681816362100467,-0.6045104713133121,0.24681816362100467
2005-08-24,-2862.1035629383255,-4291.742590907826,0,-1,-4291.742590907826,-0.21458712954539128,-0.14310517814691626,-0.21458712954539128
2005-09-21,4312.546591247762,-11466.392745093912,0,-1,-11466.392745093912,-0.5733196372546956,0.2156273295623881,-0.5733196372546956
2005-10-19,-7703.283092255068,549.4369384089173,0,-1,549.4369384089173,0.027471846920445863,-0.38516415461275344,0.027471846920445863
2005-11-16,-1936.249739676703,-5217.596414169448,0,-1,-5217.596414169448,-0.2608798207084724,-0.09681248698383514,-0.2608798207084724
2005-12-14,3892.969773071799,-11046.815926917949,0,-1,-11046.815926917949,-0.5523407963458975,0.19464848865358994,-0.5523407963458975
2006-01-11,-2984.8709173714064,-4168.975236474745,0,-1,-4168.975236474745,-0.20844876182373723,-0.14924354586857033,-0.20844876182373723
2006-02-08,-8626.57838606671,1472.73223222056,0,-1,1472.73223222056,0.073636611611028,-0.43132891930333556,0.073636611611028
2006-03-08,-2919.3375885861983,-4234.508565259953,0,-1,-4234.508565259953,-0.21172542826299764,-0.14596687942930991,-0.21172542826299764
2006-04-05,-1705.624999737927,-5448.221154108224,0,-1,-5448.221154108224,-0.27241105770541124,-0.08528124998689635,-0.27241105770541124
2006-05-03,-7036.467659835936,-117.37849401022322,0,-1,-117.37849401022322,-0.005868924700511161,-0.3518233829917968,-0.005868924700511161
2006-05-31,-1631.6455345605937,-5522.200619285564,0,-1,-5522.200619285564,-0.2761100309642782,-0.08158227672802969,-0.2761100309642782
2006-06-28,-7110.461038162739,-43.385115683419826,0,-1,-43.385115683419826,-0.0021692557841709913,-0.35552305190813693,-0.0021692557841709913
2006-07-26,5947.879749341199,-13101.725903187358,0,-1,-13101.725903187358,-0.655086295159368,0.29739398746706,-0.655086295159368
2006-08-23,874.2396914660453,-8028.085845312204,0,-1,-8028.085845312204,-0.4014042922656102,0.04371198457330227,-0.4014042922656102
2006-09-20,2057.0237821245964,-9210.869935970755,0,-1,-9210.869935970755,-0.4605434967985378,0.10285118910622983,-0.4605434967985378
2006-10-18,-2302.3361958980786,-4851.509957948079,0,-1,-4851.509957948079,-0.24257549789740396,-0.11511680979490393,-0.24257549789740396
2006-11-15,-2636.3780354958003,-4517.468118350358,0,-1,-4517.468118350358,-0.2258734059175179,-0.13181890177479003,-0.2258734059175179
2006-12-13,1565.1062176391924,-8718.95237148535,0,-1,-8718.95237148535,-0.4359476185742675,0.07825531088195962,-0.4359476185742675
2007-01-10,-3934.581885841649,-3219.264268004509,0,-1,-3219.264268004509,-0.16096321340022546,-0.19672909429208243,-0.16096321340022546
2007-02-07,-3183.7744733748823,-3970.0716804712756,0,-1,-3970.0716804712756,-0.19850358402356377,-0.15918872366874412,-0.19850358402356377
2007-03-07,-639.4733944651252,-6514.372759381034,0,-1,-6514.372759381034,-0.32571863796905165,-0.031973669723256264,-0.32571863796905165
2007-04-04,-4024.2375360336737,-3129.608617812485,0,-1,-3129.608617812485,-0.15648043089062427,-0.20121187680168368,-0.15648043089062427
2007-05-02,-92.7550654479187,-7061.09108839824,0,-1,-7061.09108839824,-0.353054554419912,-0.0046377532723959345,-0.353054554419912
2007-05-30,1705.921223219234,-8859.767377065393,0,-1,-8859.767377065393,-0.4429883688532696,0.08529606116096171,-0.4429883688532696
2007-06-27,793.7846782721535,-7947.630832118311,0,-1,-7947.630832118311,-0.3973815416059156,0.03968923391360768,-0.3973815416059156
2007-07-25,-1788.4661283728738,-5365.380025473278,0,-1,-5365.380025473278,-0.2682690012736639,-0.08942330641864368,-0.2682690012736639
2007-08-22,43228.30227094958,-50382.14842479574,0,-1,-50382.14842479574,-2.519107421239787,2.161415113547479,-2.519107421239787
2007-09-19,4872.885863369108,-12026.732017215258,0,-1,-12026.732017215258,-0.6013366008607629,0.2436442931684554,-0.6013366008607629
2007-10-17,-1726.4740262178177,-5427.372127628333,0,-1,-5427.372127628333,-0.2713686063814167,-0.08632370131089089,-0.2713686063814167
2007-11-14,23141.56373988079,-30295.40989372694,0,-1,-30295.40989372694,-1.514770494686347,1.1570781869940394,-1.514770494686347
2007-12-12,20254.679138759126,-27408.525292605278,0,-1,-27408.525292605278,-1.3704262646302638,1.0127339569379563,-1.3704262646302638
2008-01-09,-2661.990615137086,-4491.8555387090655,0,-1,-4491.8555387090655,-0.22459277693545326,-0.1330995307568543,-0.22459277693545326
2008-02-06,42518.55726277147,-49672.40341661762,0,1,42518.55726277147,2.125927863138574,2.125927863138574,-2.483620170830881
2008-03-05,12960.134437471323,-20113.980591317482,0,1,12960.134437471323,0.6480067218735661,0.6480067218735661,-1.005699029565874
2008-04-02,4087.8023922217926,-11241.648546067947,0,1,4087.8023922217926,0.20439011961108963,0.20439011961108963,-0.5620824273033973
2008-04-30,-5303.250760702391,-1850.5953931437639,0,1,-5303.250760702391,-0.2651625380351195,-0.2651625380351195,-0.09252976965718819
2008-05-28,-15048.248281083626,7894.402127237469,0,1,-15048.248281083626,-0.7524124140541814,-0.7524124140541814,0.39472010636187344
2008-06-25,-9080.0828178583,1926.2366640121463,0,1,-9080.0828178583,-0.45400414089291496,-0.45400414089291496,0.09631183320060732
2008-07-23,18105.109113059883,-25258.955266906043,0,1,18105.109113059883,0.9052554556529943,0.9052554556529943,-1.2629477633453021
