date,mean,std,low_thresh,high_thresh,fwd_curv,signal
2008-12-10,0.000111000569729825,0.00018787309292198838,0.000111000569729825,0.000111000569729825,0.00020425244697726844,-1
2009-01-07,0.0001230244969125321,0.00018586077274558834,0.0001230244969125321,0.0001230244969125321,0.00016629976762966894,-1
2009-02-04,0.00013791270628620936,0.00016806288265563268,0.00013791270628620936,0.00013791270628620936,3.196835855494022e-05,1
2009-03-04,0.00014760637237196253,0.00015470344080395355,0.00014760637237196253,0.00014760637237196253,4.6486014518317526e-07,1
2009-04-01,0.0001553607256214834,0.00014986211852682348,0.0001553607256214834,0.0001553607256214834,0.00011412472593086557,1
2009-04-29,0.00015763043640554153,0.00014820046714583463,0.00015763043640554153,0.00015763043640554153,7.053588161098155e-05,1
2009-05-27,0.0001592013552280709,0.00014700034572850292,0.0001592013552280709,0.0001592013552280709,6.453977265729292e-05,1
2009-06-24,0.000148101701831044,0.00015345865469501183,0.000148101701831044,0.000148101701831044,8.169768699248497e-07,1
2009-07-22,0.00013323045430653529,0.00016344671748422623,0.00013323045430653529,0.00013323045430653529,-5.4233187051943264e-05,1
2009-08-19,0.00010139712356766924,0.00015005122451890944,0.00010139712356766924,0.00010139712356766924,-2.871661298624743e-05,1
2009-09-16,9.067319821820425e-05,0.0001556120046715378,9.067319821820425e-05,9.067319821820425e-05,-4.682350498184457e-05,1
2009-10-14,4.618550366500067e-05,8.559757661419461e-05,4.618550366500067e-05,4.618550366500067e-05,-4.553421046152146e-05,1
2009-11-11,3.549518327270507e-05,8.390464935692813e-05,3.549518327270507e-05,3.549518327270507e-05,-1.6257892349403073e-05,1
2009-12-09,1.6887230347275375e-05,6.882943701547085e-05,1.6887230347275375e-05,1.6887230347275375e-05,-3.7650941053317486e-05,1
2010-01-06,1.8776790630335495e-06,5.298318709584536e-05,1.8776790630335495e-06,1.8776790630335495e-06,-2.882439906547486e-05,1
2010-02-03,-2.7627560808501483e-07,5.2221658709349904e-05,-2.7627560808501483e-07,-2.7627560808501483e-07,3.96694783039888e-06,-1
2010-03-03,-4.336971931283587e-06,5.417509858050989e-05,-4.336971931283587e-06,-4.336971931283587e-06,-5.232419205639826e-05,1
2010-03-31,-1.9408822910425008e-05,4.4939774640588956e-05,-1.9408822910425008e-05,-1.9408822910425008e-05,-8.180933679797292e-05,1
2010-04-28,-2.8716396858672743e-05,3.649552935046435e-05,-2.8716396858672743e-05,-2.8716396858672743e-05,-5.046257971623897e-05,1
2010-05-26,-3.6107381651384634e-05,2.3424015668224867e-05,-3.6107381651384634e-05,-3.6107381651384634e-05,-3.1543029647961663e-05,-1
2010-06-23,-3.9317130194704725e-05,2.063560098445557e-05,-3.9317130194704725e-05,-3.9317130194704725e-05,-4.0909754193236384e-05,1
2010-07-21,-4.13059177464806e-05,2.3270592947480662e-05,-4.13059177464806e-05,-4.13059177464806e-05,-8.008742522502963e-05,1
2010-08-18,-4.5107365748989967e-05,2.5013839101438874e-05,-4.5107365748989967e-05,-4.5107365748989967e-05,-7.813543701886909e-05,1
2010-09-15,-4.761966071262875e-05,2.677843824704314e-05,-4.761966071262875e-05,-4.761966071262875e-05,-7.948333950914891e-05,1
2010-10-13,-5.058824993177625e-05,2.86047905522853e-05,-5.058824993177625e-05,-5.058824993177625e-05,-8.412587031043879e-05,1
2010-11-10,-5.3924431728722475e-05,2.6735222314459845e-05,-5.3924431728722475e-05,-5.3924431728722475e-05,-5.962825570970401e-05,1
2010-12-08,-5.452195624591753e-05,2.6426224097950162e-05,-5.452195624591753e-05,-5.452195624591753e-05,-4.541875977685321e-05,-1
2011-01-05,-5.909723655006598e-05,2.6753208142913837e-05,-5.909723655006598e-05,-5.909723655006598e-05,-8.830304301940477e-05,1
2011-02-02,-6.621117648292621e-05,2.00399070506509e-05,-6.621117648292621e-05,-6.621117648292621e-05,-8.851427129678414e-05,1
2011-03-02,-7.081113840937411e-05,2.3200593134899226e-05,-7.081113840937411e-05,-7.081113840937411e-05,-0.000112123697100221,1
2011-03-30,-7.366216230001657e-05,2.668097036309107e-05,-7.366216230001657e-05,-7.366216230001657e-05,-0.00011887264737632496,1
2011-04-27,-7.66045274862941e-05,2.601002918354333e-05,-7.66045274862941e-05,-7.66045274862941e-05,-8.871332713784679e-05,1
2011-05-25,-8.19813575361685e-05,2.296515118288767e-05,-8.19813575361685e-05,-8.19813575361685e-05,-0.00010144182029632885,1
2011-06-22,-8.728359292204074e-05,2.051922110333927e-05,-8.728359292204074e-05,-8.728359292204074e-05,-0.00010983881420957548,1
2011-07-20,-8.860153354043067e-05,2.056866746983148e-05,-8.860153354043067e-05,-8.860153354043067e-05,-9.722065326409856e-05,1
2011-08-17,-8.689582471336632e-05,2.2351116615664286e-05,-8.689582471336632e-05,-8.689582471336632e-05,-5.5961222267032716e-05,-1
2011-09-14,-8.419970618156312e-05,2.5246204295448697e-05,-8.419970618156312e-05,-8.419970618156312e-05,-4.443379859570727e-05,-1
2011-10-12,-8.174340083399828e-05,2.676188433097963e-05,-8.174340083399828e-05,-8.174340083399828e-05,-5.219390079209585e-05,-1
2011-11-09,-8.420098019895264e-05,2.6018392903760014e-05,-8.420098019895264e-05,-8.420098019895264e-05,-9.157678745411056e-05,1
2011-12-07,-8.374263833347783e-05,2.679927965701316e-05,-8.374263833347783e-05,-8.374263833347783e-05,-3.946031552568082e-05,-1
2012-01-04,-8.05537988183391e-05,2.8616182949190924e-05,-8.05537988183391e-05,-8.05537988183391e-05,-4.684812932260143e-05,-1
2012-02-01,-7.656564979130794e-05,3.0933297457878374e-05,-7.656564979130794e-05,-7.656564979130794e-05,-3.666833394537885e-05,-1
2012-02-29,-7.085696691216779e-05,3.067109127473498e-05,-7.085696691216779e-05,-7.085696691216779e-05,-3.7910819671399204e-05,-1
2012-03-28,-6.403129657099408e-05,2.8918528830939122e-05,-6.403129657099408e-05,-6.403129657099408e-05,-3.013893294106666e-05,-1
2012-04-25,-6.246477722078115e-05,2.8007305899180137e-05,-6.246477722078115e-05,-6.246477722078115e-05,-6.834857558507868e-05,1
2012-05-23,-5.803362067370905e-05,2.5796391021286183e-05,-5.803362067370905e-05,-5.803362067370905e-05,-4.383678518439149e-05,-1
2012-06-20,-4.98099166400112e-05,2.4931276332361076e-05,-4.98099166400112e-05,-4.98099166400112e-05,-2.93066177150353e-06,-1
2012-07-18,-4.395749104627265e-05,2.157892020562351e-05,-4.395749104627265e-05,-4.395749104627265e-05,-2.113912054549728e-05,-1
2012-08-15,-4.0776707908340716e-05,2.268148317525654e-05,-4.0776707908340716e-05,-4.0776707908340716e-05,-1.4611041473917792e-05,-1
2012-09-12,-3.84646869266565e-05,2.3782780740494275e-05,-3.84646869266565e-05,-3.84646869266565e-05,-1.4377525833812333e-05,-1
2012-10-10,-3.612596334362311e-05,2.3815051512180445e-05,-3.612596334362311e-05,-3.612596334362311e-05,-2.1790494212661842e-05,-1
2012-11-07,-3.0352403379619465e-05,1.7516939895272268e-05,-3.0352403379619465e-05,-3.0352403379619465e-05,-1.6520507922063144e-05,-1
2012-12-05,-2.8192957063661582e-05,1.802361755686301e-05,-2.8192957063661582e-05,-2.8192957063661582e-05,-1.1387513418228367e-05,-1
2013-01-02,-2.6053060234239135e-05,1.7259380182869383e-05,-2.6053060234239135e-05,-2.6053060234239135e-05,-1.902947054010962e-05,-1
2013-01-30,-2.6471880462536895e-05,1.7601116552523258e-05,-2.6471880462536895e-05,-2.6471880462536895e-05,-4.2112996913249684e-05,1
2013-02-27,-2.7611929082734785e-05,1.8840141451052988e-05,-2.7611929082734785e-05,-2.7611929082734785e-05,-5.273145173397179e-05,1
2013-03-27,-2.836524895527422e-05,1.914295872751675e-05,-2.836524895527422e-05,-2.836524895527422e-05,-3.9932091284079325e-05,1
2013-04-24,-2.769008835679467e-05,1.771692085980967e-05,-2.769008835679467e-05,-2.769008835679467e-05,-5.957148780484454e-05,1
2013-05-22,-2.671850386284948e-05,1.709299772084626e-05,-2.671850386284948e-05,-2.671850386284948e-05,-3.120618676310402e-05,1
2013-06-19,-3.1196211958361586e-05,1.7945371267765614e-05,-3.1196211958361586e-05,-3.1196211958361586e-05,-6.114086701316089e-05,1
2013-07-17,-3.591792984921595e-05,2.256055081075577e-05,-3.591792984921595e-05,-3.591792984921595e-05,-8.2521453126604e-05,1
2013-08-14,-4.3007856827533244e-05,2.889886409968922e-05,-4.3007856827533244e-05,-4.3007856827533244e-05,-0.00010678009219204263,1
2013-09-11,-5.024335130875838e-05,3.2663287043856e-05,-5.024335130875838e-05,-5.024335130875838e-05,-0.0001084389540897391,1
2013-10-09,-5.6951601808011056e-05,3.5190185771347585e-05,-5.6951601808011056e-05,-5.6951601808011056e-05,-0.00010899775070294664,1
2013-11-06,-5.7829991679140225e-05,3.4226188773928036e-05,-5.7829991679140225e-05,-5.7829991679140225e-05,-2.7939576246742304e-05,-1
2013-12-04,-6.609186542014608e-05,3.5034827668451676e-05,-6.609186542014608e-05,-6.609186542014608e-05,-0.00011879187205130451,1
2014-01-01,-7.396204350622538e-05,3.507342100423315e-05,-7.396204350622538e-05,-7.396204350622538e-05,-0.00012134178565914053,1
2014-01-29,-8.378813283448082e-05,4.2511875052086455e-05,-8.378813283448082e-05,-8.378813283448082e-05,-0.00016985215818057022,1
2014-02-26,-8.88787645814386e-05,4.2445288191976466e-05,-8.88787645814386e-05,-8.88787645814386e-05,-0.00011890966444442325,1
2014-03-26,-9.579493403726584e-05,4.110923417138664e-05,-9.579493403726584e-05,-9.579493403726584e-05,-0.0001298422942098332,1
2014-04-23,-0.00010052273758990705,4.0118439807331516e-05,-0.00010052273758990705,-0.00010052273758990705,-0.00012103293398918046,1
2014-05-21,-0.0001068390348563262,3.434404780838799e-05,-0.0001068390348563262,-0.0001068390348563262,-0.0001133180512265527,1
2014-06-18,-0.00011185353891005543,3.177896019669955e-05,-0.00011185353891005543,-0.00011185353891005543,-0.00012632941971164088,1
2014-07-16,-0.00011492515236888596,3.0616091098126756e-05,-0.00011492515236888596,-0.00011492515236888596,-0.00012245242809140095,1
2014-08-13,-0.0001150108015034091,3.0592954988449114e-05,-0.0001150108015034091,-0.0001150108015034091,-0.00010789353094084372,-1
2014-09-10,-0.00011542949134413633,3.053270516210055e-05,-0.00011542949134413633,-0.00011542949134413633,-0.00011388192201919296,-1
2014-10-08,-0.0001153050145131452,3.056439353140074e-05,-0.0001153050145131452,-0.0001153050145131452,-0.000107379551900062,-1
2014-11-05,-0.00012047836344526204,1.7402175674847286e-05,-0.00012047836344526204,-0.00012047836344526204,-9.519311236426094e-05,-1
2014-12-03,-0.00011918171755158762,1.8150221035742827e-05,-0.00011918171755158762,-0.00011918171755158762,-0.00010193547543353734,-1
2014-12-31,-0.0001141101031103893,2.529962784674977e-05,-0.0001141101031103893,-0.0001141101031103893,-5.541079792356232e-05,-1
2015-01-28,-0.00010144429904907725,3.458119892419854e-05,-0.00010144429904907725,-0.00010144429904907725,-5.196705383513477e-06,-1
