date,1,-1,0,pnl_no_fees,signal,pnl,pnl_pct,pnl_no_fees_pct,long_pnl_pct,short_pnl_pct,same_sig
2001-08-29,-1517.438418202435,-6790.253889489872,0,2636.4077356437183,1,-1517.438418202435,-0.07587192091012175,0.1318203867821859,-0.07587192091012175,-0.33951269447449356,False
2001-09-26,-4622.772383276853,-3684.9199244154534,0,-468.92622943069966,1,-468.92622943069966,-0.023446311471534986,-0.023446311471534986,-0.23113861916384268,-0.18424599622077267,True
2001-10-24,2638.7176127530665,-10946.409920445374,0,6792.56376659922,1,6792.56376659922,0.339628188329961,0.339628188329961,0.13193588063765332,-0.5473204960222686,True
2001-11-21,11966.63644678051,-20274.328754472815,0,16120.482600626663,1,16120.482600626663,0.8060241300313332,0.8060241300313332,0.5983318223390256,-1.0137164377236407,True
2001-12-19,16506.44054207286,-24814.132849765174,0,20660.286695919018,1,20660.286695919018,1.0330143347959508,1.0330143347959508,0.825322027103643,-1.2407066424882587,True
2002-01-16,16138.04233773955,-24445.73464543186,0,20291.888491585705,1,20291.888491585705,1.0145944245792853,1.0145944245792853,0.8069021168869774,-1.2222867322715931,True
2002-02-13,18334.266052805306,-26641.958360497614,0,22488.112206651458,1,22488.112206651458,1.1244056103325728,1.1244056103325728,0.9167133026402653,-1.3320979180248809,True
2002-03-13,22424.34824396609,-30732.040551658403,0,26578.19439781225,1,26578.19439781225,1.3289097198906126,1.3289097198906126,1.1212174121983047,-1.5366020275829202,True
2002-04-10,21848.384989240498,-30156.077296932814,0,26002.231143086654,1,26002.231143086654,1.3001115571543327,1.3001115571543327,1.0924192494620248,-1.5078038648466408,True
2002-05-08,21167.135227799266,-29474.82753549158,0,25320.981381645426,0,0.0,0.0,1.2660490690822712,1.0583567613899634,-1.4737413767745788,False
2002-06-05,18008.57157574581,-26316.263883438125,0,22162.417729591965,1,18008.57157574581,0.9004285787872905,1.1081208864795982,0.9004285787872905,-1.3158131941719062,False
2002-07-03,14220.041644317404,-22527.733952009712,0,18373.88779816356,1,18373.88779816356,0.918694389908178,0.918694389908178,0.7110020822158701,-1.1263866976004855,True
2002-07-31,5748.709277154209,-14056.40158484652,0,9902.555431000364,1,9902.555431000364,0.49512777155001825,0.49512777155001825,0.28743546385771046,-0.702820079242326,True
