date,mean,std,low_thresh,high_thresh,fwd,signal
1990-01-03,,,,,,0
1990-01-31,,,,,0.07689049132038604,0
1990-02-28,,,,,0.08127178905714744,0
1990-03-28,,,,,0.08166218251704203,0
1990-04-25,,,,,0.0833244919231492,0
1990-05-23,,,,,0.08833218314103593,0
1990-06-20,,,,,0.08385379423141587,0
1990-07-18,,,,,0.0831804155163004,0
1990-08-15,,,,,0.08137914726657763,0
1990-09-12,,,,,0.08116848309836104,0
1990-10-10,,,,,0.08320915135093654,0
1990-11-07,,,,,0.0833553811461948,0
1990-12-05,,,,,0.07935649123320264,0
1991-01-02,0.08182981477137273,0.003047164314338519,0.08335339692854199,0.08030623261420347,0.07680359022609586,1
1991-01-30,0.08165910166419471,0.003389840402248797,0.08335402186531911,0.07996418146307031,0.07467122092707205,1
1991-02-27,0.08117963718728663,0.0038577058033544597,0.08310849008896386,0.0792507842856094,0.07503875085734227,1
1991-03-27,0.08064107405449748,0.0042531719362691595,0.08276766002263206,0.07851448808636291,0.0746608617907832,1
1991-04-24,0.08015168277605829,0.0042845845855759585,0.08229397506884627,0.07800939048327031,0.07696240530343954,1
1991-05-22,0.07926187993449367,0.0035887555379784993,0.08105625770348292,0.07746750216550442,0.07676474620069583,1
1991-06-19,0.07875118512231312,0.0033449525721225564,0.0804236614083744,0.07707870883625184,0.07721476167306873,1
1991-07-17,0.07859100612986476,0.0031599158956423074,0.08017096407768591,0.07701104818204361,0.0810980886144719,-1
1991-08-14,0.07852496290155292,0.0031052866772679055,0.08007760624018687,0.07697231956291897,0.08052058529852357,-1
1991-09-11,0.07790110028037511,0.0033360474079266295,0.07956912398433842,0.0762330765764118,0.07305826902304956,1
1991-10-09,0.07700559421243167,0.0033548920940347587,0.07868304025944904,0.07532814816541429,0.07156757246767159,1
1991-11-06,0.07582731647529165,0.0036184397985858673,0.07763653637458458,0.07401809657599871,0.0680377705633748,1
1991-12-04,0.07485172252115489,0.004243391276586661,0.07697341815944822,0.07273002688286156,0.06667376982942473,1
1992-01-01,0.073770142160922,0.005351628225388185,0.07644595627361608,0.0710943280482279,0.06274304554306817,1
1992-01-29,0.07258942554286053,0.006667680260427072,0.07592326567307407,0.069255585412647,0.05932190489227299,1
1992-02-26,0.07176373471072288,0.006995646821549112,0.07526155812149743,0.06826591129994833,0.0643047700395528,1
1992-03-25,0.0711482843920115,0.007071064569822997,0.074683816676923,0.0676127521071,0.0666600076475352,1
1992-04-22,0.07060051153714203,0.0068556715427496116,0.07402834730851683,0.06717267576576723,0.06984135819013657,1
1992-05-20,0.0700872095498463,0.006600748311448551,0.07338758370557058,0.06678683539412203,0.07009182036585143,1
1992-06-17,0.06923740656687011,0.006311457207248697,0.07239313517049445,0.06608167796324577,0.06616732289437814,1
1992-07-15,0.0680433413271274,0.00526160854106025,0.07067414559765753,0.06541253705659728,0.06557524049781673,1
1992-08-12,0.06640999795336774,0.004267342316678573,0.06854366911170703,0.06427632679502845,0.05928712143964796,1
1992-09-09,0.06514018713144469,0.0045695255105517845,0.06742494988672058,0.0628554243761688,0.056550728338049895,1
1992-10-07,0.0637758010256701,0.005106883897724152,0.06632924297453217,0.06122235907680802,0.053830553092601895,1
1992-11-04,0.06283050617903906,0.005382167624261136,0.06552158999116962,0.06013942236690849,0.055748937557171196,1
1992-12-02,0.06238305871204729,0.005276790830140293,0.06502145412711743,0.05974466329697714,0.0608569527585317,1
1992-12-30,0.062437656436060425,0.005284492216006572,0.0650799025440637,0.05979541032805714,0.06345281595523906,1
1993-01-27,0.0625152707156948,0.005242157149732845,0.06513634929056122,0.05989419214082838,0.06033089052751991,1
1993-02-24,0.062073941292448594,0.005319877752396848,0.06473388016864702,0.05941400241625017,0.0585674875373521,1
1993-03-24,0.06104196019610864,0.005647269034488948,0.06386559471335311,0.05821832567886417,0.0532442533951158,1
1993-04-21,0.0597843803806742,0.005336199360806513,0.06245248006107745,0.057116280700270944,0.05349282058948881,1
1993-05-19,0.05840000749352414,0.004740513377861437,0.06077026418245486,0.05602975080459342,0.05209497283290066,1
1993-06-16,0.0574537355846108,0.0042647485795629875,0.0595861098743923,0.055321361294829306,0.05386578807850476,1
1993-07-14,0.05649137107054595,0.003646043579905072,0.058314392860498485,0.054668349280593415,0.053064501814973596,1
1993-08-11,0.05584233094238569,0.0038520630677642896,0.057768362476267834,0.05391629940850355,0.05084959977356457,1
1993-09-08,0.05555034043582399,0.003936824222281192,0.05751875254696459,0.05358192832468339,0.0527548517527478,1
1993-10-06,0.05505216266230041,0.004536656493901497,0.05732049090925116,0.05278383441534966,0.0473542420367954,1
1993-11-03,0.05445926383545701,0.00492504238735284,0.05692178502913343,0.05199674264178059,0.048041252808207,1
1993-12-01,0.05371322528616099,0.00459893096478023,0.0560126907685511,0.05141375980377087,0.0511584516176834,1
1993-12-29,0.05288713585863381,0.0035481215820942036,0.054661196649680915,0.05111307506758671,0.05271365339738584,1
1994-01-26,0.05229364311241867,0.002756133682820271,0.053671709953828806,0.05091557627100854,0.05261548482672293,1
1994-02-23,0.051828481284158956,0.002021399683064713,0.05283918112569131,0.0508177814426266,0.052520383769975774,1
1994-03-23,0.0521346190632536,0.002498699790640761,0.053383968958573974,0.05088526916793322,0.05722404452334623,-1
1994-04-20,0.052728745815311506,0.003546928922011881,0.054502210276317443,0.05095528135430557,0.061216468366241596,-1
1994-05-18,0.05402546798300281,0.0057148427382640666,0.05688288935213485,0.051168046613870775,0.06895236101288764,-1
