date,mean,std,z_score,ci_lower,ci_upper,ci_mid,pnl_no_fees_pred,pnl_pred,signal
2001-08-29,-0.008222084821160833,0.006353051915749319,-1.8048140243117285,,,,,,0
2001-09-26,-0.008241866767414242,0.006391946081617672,-2.0972340008315773,,,,,,0
2001-10-24,-0.008357356432999896,0.006699145542333344,-3.444097624819499,,,,,,0
2001-11-21,-0.008442471287152807,0.00688670513177252,-2.7764330660234915,,,,,,0
2001-12-19,-0.008438305207775615,0.006880053814199021,-1.551073781328753,,,,,,0
2002-01-16,-0.008459373667864653,0.006906929752665641,-1.4147260772577994,,,,,,0
2002-02-13,-0.008530073096131612,0.006997457927591737,-1.7699413556558343,,,,,,0
2002-03-13,-0.008632340734256849,0.007089041072575326,-1.6095376984276333,,,,,,0
2002-04-10,-0.008685570597561103,0.007117451160210423,-0.905115716008445,,,,,,0
2002-05-08,-0.008731404257094533,0.007139179258349138,-0.792913108877779,,,,,,0
2002-06-05,-0.008801741095548677,0.007169312148365291,-0.9187632644592034,,,,,,0
2002-07-03,-0.008919098625507028,0.0072534264287958975,-1.5226631286329624,-14353.360201595355,-4815.011502383616,-9584.185851989485,14593.486414790083,17701.486197110877,1
2002-07-31,-0.009057685708599028,0.007400365252317683,-1.985162370598329,-12961.365531521262,-4483.205898004473,-8722.285714762867,17315.153386554593,21576.568970900065,1
2002-08-28,-0.009330095742424839,0.007835234969027651,-3.2926108921923265,-10117.711251246972,-2907.8220156581865,-6512.766633452579,21444.006355612713,29159.84011606648,1
2002-09-25,-0.009618079663319434,0.008179327053277806,-2.9362729992373553,-8577.503736010258,-2207.9642171919613,-5392.73397660111,15834.539167563731,21032.046467058302,1
2002-10-23,-0.009967957124221265,0.008559752840645923,-3.116899602203779,-7535.652533108154,-2055.276749486479,-4795.464641297316,14946.981832841891,19334.026228944553,1
2002-11-20,-0.010358407097035652,0.008846881564528633,-2.945129649771013,-6861.981754473208,-2044.131945133805,-4453.056849803506,13114.829760472212,16055.579767440608,1
2002-12-18,-0.010710112988431046,0.009058726976507978,-2.55012461042106,-6537.509117969354,-2196.676692779936,-4367.092905374645,11136.631093991093,12517.61673873957,1
2003-01-15,-0.011041722260523024,0.009424224493379254,-2.847162562316529,-6133.493547210001,-2257.8439440104385,-4195.66874561022,11945.750976382971,13309.207049980168,1
2003-02-12,-0.011352903550981116,0.009795852761441348,-2.7643256067306003,-5755.3701493095705,-2246.4486940548913,-4000.909421682231,11059.816364565908,11755.87092610321,1
2003-03-12,-0.011647259590005328,0.010169187911716282,-2.6945906266180395,-5384.279879341928,-2165.736509497553,-3775.0081944197404,10172.101696089723,10354.583940116714,1
2003-04-09,-0.011932335847005754,0.010523964455727022,-2.5794838011334202,-5151.94266249112,-2201.0068383489697,-3676.474750420045,9483.40706398454,9135.506488417874,1
2003-05-07,-0.012193844827207055,0.010889135694654549,-2.572312445466771,-4853.32506541794,-2114.3824140696133,-3483.8537397437767,8961.56033292887,8330.422313824245,1
2003-06-04,-0.01246338078750135,0.011233885936274392,-2.458730176270831,-4531.429932311226,-1938.5479251044658,-3234.988928707846,7953.964898916029,6987.717362384346,1
2003-07-02,-0.01276010207628525,0.01159911714708185,-2.4914923231813297,-4282.488612278626,-1863.431390821961,-3072.9600015502933,7656.256253305843,6515.941347757507,1
2003-07-30,-0.013046290664631938,0.011924646482467336,-2.3229268754609005,-4462.867418151085,-2146.791580731276,-3304.829499441181,7676.877263067914,6213.068513395801,1
2003-08-27,-0.013329207497330377,0.012203528099239719,-2.1356717322376664,-4952.772782092151,-2523.7256610374525,-3738.2492215648017,7983.673190555408,6423.650673064156,1
2003-09-24,-0.013528805849939492,0.012351396846024853,-1.5452564678974048,-5101.845594893766,-2709.0846123380284,-3905.465103615897,6034.945211510073,3729.8137498773212,1
2003-10-22,-0.01376193971236072,0.012587624675175066,-1.9292268662406664,-5353.802159890989,-2994.572837069947,-4174.187498480468,8052.95466679444,6174.852809552849,1
2003-11-19,-0.01397848409422204,0.012774656408631856,-1.7050125318334144,-5694.901518306417,-3284.5138323198134,-4489.707675313115,7655.007850677527,5556.032302423424,1
2003-12-17,-0.01414961955631607,0.012907983142246518,-1.4369838735043248,-6008.204645934428,-3530.871698085134,-4769.538172009781,6853.749437241352,4479.84703107538,1
2004-01-14,-0.014300371006752813,0.013034310473323145,-1.4098175187349797,-6203.436307659346,-3745.0275523843693,-4974.231930021858,7012.759317195725,4591.86702904863,1
2004-02-11,-0.01454948405825216,0.013194134742941148,-1.5849054380792689,-6426.800604153608,-4004.2665035227315,-5215.53355383817,8266.12749196301,6032.02507312803,1
2004-03-10,-0.014795549439648361,0.013310279169927221,-1.3989265613491977,-6494.343143127667,-4153.913887422766,-5324.128515275216,7448.064796055168,4931.262967591172,1
2004-04-07,-0.015077216073576833,0.013454307914958765,-1.5608415050858773,-6782.7888233410085,-4448.6319584292505,-5615.7103908851295,8765.233858635545,6433.012161857092,1
2004-05-05,-0.015343742243691139,0.013514544889295365,-1.219225510660942,-7579.972753226867,-4770.2884002343535,-6175.13057673061,7528.876730812375,5087.849997002899,1
2004-06-02,-0.015553399023635317,0.013509590404758721,-0.7603108903943586,-8435.521750190752,-4889.939605016969,-6662.73067760386,5065.7466939467995,2259.7728989823545,1
2004-06-30,-0.015721136824759313,0.013507952275249865,-0.6174233779958044,-9118.318114649202,-5021.948607021115,-7070.133360835159,4365.265622527673,1476.0166181408904,1
2004-07-28,-0.015904925989102835,0.013494043988177416,-0.6128391357601108,-9753.756960215991,-5222.820939019191,-7488.288949617591,4589.116528205633,1823.637832066779,1
2004-08-25,-0.01606559349473022,0.013490719492682225,-0.5809374966820084,-10133.871637606086,-5446.786373601357,-7790.329005603721,4525.694230844666,1733.2998670015304,1
2004-09-22,-0.016243761320511925,0.01351219695521339,-0.7851475941424683,-10419.642290042973,-5750.157011176834,-8084.899650609904,6347.839509559648,4027.1109220062044,1
2004-10-20,-0.01640076697680854,0.013522627236218682,-0.6520905534568977,-10655.73345153145,-5998.097194040678,-8326.915322786064,5429.902821424286,2794.6569700521686,1
2004-11-17,-0.016594004791613496,0.01351970270706565,-0.7068115326120464,-11009.122224223227,-6326.65005793542,-8667.886141079323,6126.561887882994,3627.528398170406,1
2004-12-15,-0.01675529399960821,0.013493455731275555,-0.44234005139546695,-11309.33012838796,-6528.732992461196,-8919.031560424577,3945.2448788359993,848.7235163932783,1
2005-01-12,-0.016881693508897205,0.013459595842547028,-0.208659890546545,-11676.988549409365,-6548.230862606011,-9112.609706007688,1901.4361438489477,0.0,0
2005-02-09,-0.01699127819077944,0.013408140526087941,0.05310085555350141,-11838.527920402394,-6265.486272481045,-9052.00709644172,-480.6693212974214,0.0,0
2005-03-09,-0.0170852425926239,0.013338731726807551,0.37758622265738645,-11589.139165085366,-5202.363322452249,-8395.751243768807,-3170.1199985057183,-222.05312734920608,-1
2005-04-06,-0.017146905398330463,0.01329192704157322,0.5186487157742112,-10967.54302116073,-3978.4101109939916,-7472.976566077361,-3875.8496990067983,-1534.4559492772714,-1
2005-05-04,-0.017208546708485702,0.013242851802386227,0.5547358264812627,-10212.636676806374,-2819.8474502011877,-6516.242063503781,-3614.7929266497385,-1511.4692936148867,-1
2005-06-01,-0.01726266491577024,0.013203001063957765,0.5232497686722932,-9505.175679931648,-1880.2177297839667,-5692.696704857807,-2978.7022339383734,-819.7348218675879,-1
2005-06-29,-0.01731626485632211,0.013157831370873427,0.6301718842971766,-8568.031271274162,-831.8097740943485,-4699.920522684255,-2961.757771826908,-1245.4862570898176,-1
