date,mean,std,low_thresh,high_thresh,fwd_slope,signal
1990-01-03,,,,,,0
1990-01-31,,,,,,0
1990-02-28,,,,,,0
1990-03-28,,,,,,0
1990-04-25,,,,,,0
1990-05-23,,,,,,0
1990-06-20,,,,,,0
1990-07-18,,,,,,0
1990-08-15,,,,,,0
1990-09-12,,,,,,0
1990-10-10,,,,,,0
1990-11-07,,,,,,0
1990-12-05,,,,,,0
1991-01-02,,,,,,0
1991-01-30,,,,,,0
1991-02-27,,,,,,0
1991-03-27,,,,,,0
1991-04-24,,,,,,0
1991-05-22,,,,,,0
1991-06-19,,,,,,0
1991-07-17,,,,,,0
1991-08-14,,,,,,0
1991-09-11,,,,,,0
1991-10-09,,,,,,0
1991-11-06,,,,,,0
1991-12-04,,,,,,0
1992-01-01,,,,,,0
1992-01-29,,,,,,0
1992-02-26,,,,,,0
1992-03-25,,,,,,0
1992-04-22,,,,,,0
1992-05-20,,,,,,0
1992-06-17,,,,,,0
1992-07-15,,,,,,0
1992-08-12,,,,,,0
1992-09-09,,,,,,0
1992-10-07,,,,,,0
1992-11-04,,,,,,0
1992-12-02,,,,,,0
1992-12-30,,,,,,0
1993-01-27,,,,,,0
1993-02-24,,,,,,0
1993-03-24,,,,,,0
1993-04-21,,,,,,0
1993-05-19,,,,,,0
1993-06-16,,,,,,0
1993-07-14,,,,,,0
1993-08-11,,,,,,0
1993-09-08,,,,,,0
1993-10-06,,,,,,0
1993-11-03,,,,,-0.023173193912354,0
1993-12-01,,,,,-0.019629514903417307,0
1993-12-29,,,,,-0.019649921793933503,0
1994-01-26,,,,,-0.01888123200736299,0
1994-02-23,,,,,-0.0195347163895842,0
1994-03-23,,,,,-0.016081804373666395,0
1994-04-20,,,,,-0.013703821583408209,0
1994-05-18,,,,,-0.009611120497494699,0
1994-06-15,,,,,-0.009698241443556105,0
1994-07-13,,,,,-0.00971711980525801,0
1994-08-10,,,,,-0.008214284206585099,0
1994-09-07,,,,,-0.007993155549134504,0
1994-10-05,-0.01426929664050421,0.0054053537816705025,-0.01426929664050421,-0.01426929664050421,-0.009612729860799696,-1
1994-11-02,-0.013051562669869194,0.005000298499690379,-0.013051562669869194,-0.013051562669869194,-0.007342652294098806,-1
1994-11-30,-0.011869327439648008,0.005130627512809854,-0.011869327439648008,-0.011869327439648008,-0.0042604569105419016,-1
1994-12-28,-0.010431667789053625,0.005381132438045362,-0.010431667789053625,-0.010431667789053625,-0.0009603463362065079,-1
1995-01-25,-0.008716782486462165,0.005982668682529191,-0.008716782486462165,-0.008716782486462165,0.003412276926325994,-1
1995-02-22,-0.0070554192771079185,0.005721322443165577,-0.0070554192771079185,-0.0070554192771079185,0.0020630053320210007,-1
1995-03-22,-0.006129886299407212,0.0050762854174999684,-0.006129886299407212,-0.006129886299407212,-0.004049875663557204,-1
1995-04-19,-0.005590464527796625,0.004549653197455192,-0.005590464527796625,-0.005590464527796625,-0.006691338552470602,1
1995-05-17,-0.005545358492355795,0.0045091967963602755,-0.005545358492355795,-0.005545358492355795,-0.0090247420367639,1
1995-06-14,-0.005568644032867948,0.004533147452992374,-0.005568644032867948,-0.005568644032867948,-0.010000953470214104,1
1995-07-12,-0.005861956979725849,0.004929934250683676,-0.005861956979725849,-0.005861956979725849,-0.013530188114410702,1
1995-08-09,-0.006198689516587418,0.005243523041084353,-0.006198689516587418,-0.006198689516587418,-0.012591807185785502,1
1995-09-06,-0.006460265393420371,0.005422271539673561,-0.006460265393420371,-0.006460265393420371,-0.011393641947962892,1
1995-10-04,-0.006609681284725249,0.005541824280191717,-0.006609681284725249,-0.006609681284725249,-0.011555136447763105,1
1995-11-01,-0.006855201920348741,0.005646713521405655,-0.006855201920348741,-0.006855201920348741,-0.010534420557204195,1
1995-11-29,-0.007470232138591448,0.005774522853314801,-0.007470232138591448,-0.007470232138591448,-0.012255849747697105,1
1995-12-27,-0.008493795455106116,0.005703321057094565,-0.008493795455106116,-0.008493795455106116,-0.014266669450897197,1
1996-01-24,-0.009807963404127417,0.004591125863243004,-0.009807963404127417,-0.009807963404127417,-0.013671906410950903,1
1996-02-21,-0.01113914581717511,0.003142682871041325,-0.01113914581717511,-0.01113914581717511,-0.015242366037599,1
1996-03-20,-0.012158364790142002,0.002779507208740554,-0.012158364790142002,-0.012158364790142002,-0.017299722312126807,1
1996-04-17,-0.012416831725348607,0.002352132806715935,-0.012416831725348607,-0.012416831725348607,-0.0100514087101565,-1
1996-05-15,-0.012362388769214479,0.002443602098030126,-0.012362388769214479,-0.012362388769214479,-0.008316983607020198,-1
1996-06-12,-0.012158258627563062,0.0027490561961360815,-0.012158258627563062,-0.012158258627563062,-0.007347261628745702,-1
1996-07-10,-0.011474040371534024,0.0034072674954298693,-0.011474040371534024,-0.011474040371534024,-0.004635350786033193,-1
1996-08-07,-0.010846970294076268,0.0038990556958388607,-0.010846970294076268,-0.010846970294076268,-0.004439896178834696,-1
1996-09-04,-0.010505306039133163,0.0040392446470961085,-0.010505306039133163,-0.010505306039133163,-0.006952006633702504,-1
1996-10-02,-0.01003399627251193,0.0042580709753726265,-0.01003399627251193,-0.01003399627251193,-0.005428109481687107,-1
1996-10-30,-0.009801715670515816,0.004310536300228164,-0.009801715670515816,-0.009801715670515816,-0.007514772731254699,-1
1996-11-27,-0.009526628153134747,0.0042546155879747,-0.009526628153134747,-0.009526628153134747,-0.008679712021743204,-1
1996-12-25,-0.00913720492715887,0.004009214170102117,-0.00913720492715887,-0.00913720492715887,-0.009204167513210793,1
1997-01-22,-0.008580875931881747,0.003825086595593222,-0.008580875931881747,-0.008580875931881747,-0.006439629472348309,-1
1997-02-19,-0.007890885520206616,0.0032956981252643615,-0.007890885520206616,-0.007890885520206616,-0.006272490685822307,-1
1997-03-19,-0.007083016215945039,0.0016961839800046232,-0.007083016215945039,-0.007083016215945039,-0.006797421356726299,-1
1997-04-16,-0.006702266077123377,0.0015208082598578503,-0.006702266077123377,-0.006702266077123377,-0.0051016569054748995,-1
1997-05-14,-0.006252063667100548,0.0018364827140354466,-0.006252063667100548,-0.006252063667100548,-0.002464352276723411,-1
1997-06-11,-0.00599177110534967,0.0019067752469695458,-0.00599177110534967,-0.00599177110534967,-0.003963458325984298,-1
1997-07-09,-0.005910194024353731,0.001990490457117158,-0.005910194024353731,-0.005910194024353731,-0.003574848733086,-1
1997-08-06,-0.005940520512154979,0.0019691111882741462,-0.005940520512154979,-0.005940520512154979,-0.0048341405202509125,-1
1997-09-03,-0.005679395042776643,0.002047328292453483,-0.005679395042776643,-0.005679395042776643,-0.0035573755317841044,-1
1997-10-01,-0.00560599331839468,0.0020740198714505084,-0.00560599331839468,-0.00560599331839468,-0.004473887064721599,-1
1997-10-29,-0.005422219264586809,0.0019951375595315055,-0.005422219264586809,-0.005422219264586809,-0.005125710031752398,-1
1997-11-26,-0.0051458987857425555,0.00173865476622019,-0.0051458987857425555,-0.0051458987857425555,-0.0050875457967679005,-1
1997-12-24,-0.004703834714095787,0.001294741943237798,-0.004703834714095787,-0.004703834714095787,-0.0034573345818028,-1
1998-01-21,-0.004540511786557379,0.0011869643123760339,-0.004540511786557379,-0.004540511786557379,-0.004316431414348995,-1
1998-02-18,-0.004659321645661547,0.001427668665717126,-0.004659321645661547,-0.004659321645661547,-0.007817018854176495,1
1998-03-18,-0.00480873546915947,0.0017379939908004054,-0.00480873546915947,-0.00480873546915947,-0.0087398010621993,1
1998-04-15,-0.0049247809375035775,0.0018081310930169513,-0.0049247809375035775,-0.0049247809375035775,-0.006610247993948291,1
1998-05-13,-0.005173971742912092,0.0016577600443082462,-0.005173971742912092,-0.005173971742912092,-0.0057038327470341,1
1998-06-10,-0.005366580294910292,0.0016508402077596693,-0.005366580294910292,-0.005366580294910292,-0.006467369501960904,1
1998-07-08,-0.005432284215925046,0.0015894421191395458,-0.005432284215925046,-0.005432284215925046,-0.004428999706277803,-1
1998-08-05,-0.005454895024678307,0.001582298761917499,-0.005454895024678307,-0.005454895024678307,-0.005128081034043296,-1
1998-09-02,-0.005644174989394952,0.0014802816922534431,-0.005644174989394952,-0.005644174989394952,-0.0060180150731004994,1
1998-09-30,-0.006052329085769952,0.0018226287596786871,-0.006052329085769952,-0.006052329085769952,-0.009779890317596601,1
1998-10-28,-0.007185095252367369,0.004210560433283462,-0.007185095252367369,-0.007185095252367369,-0.019851670197518802,1
1998-11-25,-0.008609161119845284,0.006133547692425557,-0.008609161119845284,-0.008609161119845284,-0.0236004020739808,1
1998-12-23,-0.009464552808437622,0.0061306044337747665,-0.009464552808437622,-0.009464552808437622,-0.014577426533503204,1
1999-01-20,-0.01033843160776277,0.00614528036581853,-0.01033843160776277,-0.01033843160776277,-0.0156768558055759,1
1999-02-17,-0.010862028043757976,0.006202259546670702,-0.010862028043757976,-0.010862028043757976,-0.0146237725221142,1
1999-03-17,-0.011121513009962915,0.006176584194486573,-0.011121513009962915,-0.011121513009962915,-0.012113105622863496,1
1999-04-14,-0.011426176280143252,0.006031496129033453,-0.011426176280143252,-0.011426176280143252,-0.010570870506292691,-1
1999-05-12,-0.011797488068184515,0.005793756223105208,-0.011797488068184515,-0.011797488068184515,-0.010530885991570496,-1
1999-06-09,-0.011975828020316708,0.005649911764388006,-0.011975828020316708,-0.011975828020316708,-0.008785788879679408,-1
1999-07-07,-0.0119290873382829,0.00571963131579501,-0.0119290873382829,-0.0119290873382829,-0.0038213708398383006,-1
1999-08-04,-0.011702213336696715,0.0060602327431918636,-0.011702213336696715,-0.011702213336696715,-0.0021787190134228973,-1
1999-09-01,-0.011535272968242223,0.0062565739046845465,-0.011535272968242223,-0.011535272968242223,-0.0038477902831920985,-1
1999-09-29,-0.011228978183256038,0.006444320858359975,-0.011228978183256038,-0.011228978183256038,-0.0057980581127762,-1
1999-10-27,-0.010326230674698353,0.005937851581632135,-0.010326230674698353,-0.010326230674698353,-0.008115952586268904,-1
1999-11-24,-0.009007560020754014,0.004465174570983113,-0.009007560020754014,-0.009007560020754014,-0.00645768357270439,-1
1999-12-22,-0.00829056051183093,0.004238885477750432,-0.00829056051183093,-0.00829056051183093,-0.005256432917503107,-1
2000-01-19,-0.007561026044889138,0.0036348053951372394,-0.007561026044889138,-0.007561026044889138,-0.006192907735332598,-1
2000-02-16,-0.0065160077414002605,0.0033789225102877993,-0.0065160077414002605,-0.0065160077414002605,-0.0010385345767588011,-1
2000-03-15,-0.0050690505044749,0.004592135603792881,-0.0050690505044749,-0.0050690505044749,0.006697338457166191,-1
2000-04-12,-0.0038985716744161306,0.004994512663276572,-0.0038985716744161306,-0.0038985716744161306,0.004645354284471312,-1
2000-05-10,-0.0028377931834607855,0.0049325467754212276,-0.0028377931834607855,-0.0028377931834607855,0.003259234390848992,-1
2000-06-07,-0.0014122812284492535,0.0056899982065008025,-0.0014122812284492535,-0.0014122812284492535,0.009745866535470507,-1
2000-07-05,-0.0006787301789763383,0.0059617472531820195,-0.0006787301789763383,-0.0006787301789763383,0.005714792803309596,-1
2000-08-02,-0.00037143279934430824,0.005980914068521691,-0.00037143279934430824,-0.00037143279934430824,0.0018161469217934934,-1
2000-08-30,3.4721774406576105e-05,0.005903950628184415,3.4721774406576105e-05,3.4721774406576105e-05,0.0014322191755693978,-1
2000-09-27,0.0003925803658776607,0.005656760839387734,0.0003925803658776607,0.0003925803658776607,-0.0011458964236521,1
